idCliente,idServidor,velocidad,distancia
197,204,300,3
198,204,600,1
199,204,600,9
200,204,900,5
201,204,900,8
202,204,600,10
203,204,900,9
206,209,300,7
207,209,600,5
208,209,900,9
210,213,900,3
211,213,300,5
212,213,900,10
214,223,900,9
215,223,300,4
216,223,600,4
217,223,300,9
218,223,900,1
219,223,900,1
220,223,600,2
221,223,300,3
222,223,300,4
225,231,600,10
226,231,900,6
227,231,900,2
228,231,600,7
229,231,900,3
230,231,900,7
232,234,900,9
233,234,600,1
235,236,300,1
237,244,900,7
238,244,600,5
239,244,600,3
240,244,600,8
241,244,900,3
242,244,600,8
243,244,300,2
245,246,600,9
248,249,600,2
250,252,900,9
251,252,900,8
253,260,600,4
254,260,600,5
255,260,900,7
256,260,600,5
257,260,600,8
258,260,900,1
259,260,300,5
261,263,600,4
262,263,300,5
264,266,600,2
265,266,900,8
267,270,300,2
268,270,900,9
269,270,600,4
271,272,300,2
273,277,900,3
274,277,900,10
275,277,900,4
276,277,900,3
279,289,300,2
280,289,900,10
281,289,900,4
282,289,600,9
283,289,300,5
284,289,600,7
285,289,600,3
286,289,600,4
287,289,600,4
288,289,900,8
290,293,900,9
291,293,900,9
292,293,900,9
294,295,600,8
1,2,2000,725
1,7,2000,850
1,27,1000,397
1,39,2000,996
1,81,3000,624
1,89,2000,163
1,110,1000,866
1,112,3000,423
1,114,2000,449
1,136,2000,59
1,142,2000,453
1,224,2000,72
1,246,1000,56
1,263,2000,326
1,270,1000,957
2,37,2000,699
2,53,1000,71
2,57,1000,65
2,60,1000,932
2,112,1000,315
2,142,1000,201
2,152,2000,106
2,188,3000,934
2,223,3000,647
2,224,3000,723
2,244,2000,161
2,247,3000,296
2,249,1000,807
2,252,3000,555
2,270,3000,200
2,293,2000,604
3,27,3000,476
3,38,2000,85
3,39,3000,87
3,58,2000,865
3,59,1000,646
3,92,3000,9
3,110,1000,406
3,113,2000,419
3,145,2000,743
3,182,3000,382
3,193,2000,789
3,234,3000,942
3,236,3000,963
3,263,1000,397
3,272,1000,488
3,293,3000,39
7,27,3000,605
7,38,3000,425
7,40,1000,507
7,88,2000,405
7,92,2000,231
7,113,1000,864
7,114,3000,505
7,168,2000,916
7,174,2000,962
7,188,2000,34
7,193,1000,663
7,209,3000,3
7,224,1000,723
7,231,3000,412
7,234,3000,492
7,293,1000,619
27,38,1000,466
27,58,3000,479
27,81,2000,669
27,104,2000,627
27,110,1000,263
27,139,2000,882
27,153,3000,160
27,168,2000,241
27,188,3000,848
27,204,1000,625
27,209,2000,820
27,234,3000,309
27,236,2000,348
27,244,1000,727
27,246,3000,66
27,247,2000,84
27,249,1000,170
27,266,1000,489
27,277,2000,359
37,48,3000,243
37,57,2000,979
37,92,3000,828
37,155,3000,398
37,171,2000,752
37,204,1000,873
37,213,2000,407
37,224,3000,978
37,236,3000,897
37,266,3000,241
37,295,2000,460
38,55,3000,881
38,59,2000,797
38,60,1000,33
38,88,2000,781
38,110,2000,353
38,122,2000,26
38,139,1000,427
38,142,3000,542
38,155,2000,443
38,168,2000,415
38,209,3000,393
38,213,2000,313
38,236,3000,390
38,249,3000,581
38,272,2000,601
38,293,3000,26
39,48,2000,800
39,55,2000,607
39,88,2000,579
39,89,3000,433
39,92,1000,145
39,110,2000,863
39,111,3000,190
39,112,2000,291
39,113,3000,716
39,122,3000,955
39,136,3000,300
39,171,2000,91
39,193,2000,500
39,204,1000,70
39,209,2000,330
39,224,3000,860
39,231,3000,952
39,266,2000,4
40,53,1000,12
40,136,2000,432
40,155,3000,153
40,164,1000,641
40,171,1000,37
40,209,2000,77
40,224,2000,720
40,236,2000,863
40,247,1000,463
40,249,3000,902
40,260,1000,778
40,263,1000,154
40,266,2000,255
48,53,3000,301
48,57,2000,3
48,58,1000,691
48,88,3000,392
48,104,2000,324
48,110,3000,688
48,112,2000,124
48,122,2000,188
48,142,2000,269
48,145,2000,432
48,168,2000,472
48,213,1000,4
48,223,2000,796
48,246,1000,520
53,55,2000,1000
53,113,1000,481
53,122,2000,103
53,145,2000,758
53,162,2000,189
53,164,2000,139
53,204,3000,188
53,205,2000,243
53,249,3000,736
53,260,3000,158
53,266,3000,573
53,270,2000,63
55,59,2000,687
55,81,3000,547
55,136,1000,931
55,153,2000,618
55,155,2000,927
55,171,1000,359
55,188,2000,299
55,205,2000,158
55,236,3000,724
55,244,3000,162
55,270,3000,704
55,272,1000,798
55,293,1000,958
55,295,3000,899
57,92,1000,836
57,110,2000,697
57,112,3000,904
57,139,3000,79
57,155,2000,452
57,168,1000,438
57,188,2000,371
57,224,3000,579
57,244,2000,863
57,249,1000,849
57,260,3000,930
57,263,2000,813
57,278,1000,515
57,293,2000,935
58,88,2000,457
58,110,1000,930
58,113,3000,285
58,114,1000,231
58,155,3000,832
58,182,3000,886
58,236,3000,390
58,247,3000,626
58,249,2000,417
58,252,1000,952
58,272,2000,629
58,278,3000,681
58,293,2000,309
59,88,2000,808
59,89,3000,723
59,139,1000,499
59,152,1000,461
59,182,2000,584
59,213,3000,283
59,231,3000,53
59,234,2000,165
59,249,2000,631
59,270,3000,62
59,272,2000,211
59,277,2000,635
59,278,3000,140
59,289,1000,95
59,293,2000,906
60,81,1000,950
60,88,3000,389
60,113,2000,117
60,136,2000,301
60,142,1000,377
60,155,1000,128
60,244,3000,800
60,263,2000,30
60,289,3000,459
81,88,1000,160
81,92,2000,331
81,111,1000,114
81,113,2000,231
81,152,2000,885
81,164,3000,182
81,168,3000,571
81,244,1000,513
81,246,2000,730
81,247,1000,984
81,249,2000,126
81,266,1000,779
81,270,1000,679
81,272,2000,450
81,277,2000,587
81,289,1000,66
81,293,2000,349
88,111,2000,511
88,112,2000,731
88,153,3000,256
88,155,3000,14
88,164,3000,904
88,188,2000,753
88,204,3000,272
88,205,2000,280
88,244,1000,25
88,260,2000,166
88,278,3000,220
89,111,3000,458
89,122,3000,95
89,136,2000,156
89,168,1000,477
89,193,2000,640
89,231,2000,666
89,234,3000,666
89,260,2000,967
89,289,2000,391
92,122,1000,394
92,136,1000,495
92,139,2000,593
92,145,3000,351
92,153,2000,493
92,162,2000,390
92,204,2000,475
92,213,2000,72
92,234,1000,442
92,249,2000,876
92,263,3000,538
92,272,2000,362
104,110,2000,412
104,113,2000,874
104,155,2000,350
104,209,3000,522
104,213,1000,574
104,234,1000,352
104,236,3000,735
104,252,2000,364
104,263,1000,251
104,278,2000,293
110,112,1000,483
110,113,2000,683
110,164,2000,991
110,174,2000,117
110,193,3000,784
110,204,3000,286
110,236,1000,537
110,246,2000,76
111,139,2000,483
111,145,1000,781
111,152,1000,302
111,162,1000,377
111,168,2000,47
111,171,1000,517
111,193,1000,867
111,209,3000,390
111,224,1000,744
111,246,1000,346
111,249,2000,543
111,260,2000,298
111,263,2000,186
111,272,1000,241
111,278,2000,224
112,136,3000,872
112,205,1000,59
112,231,3000,282
112,249,1000,921
112,263,3000,814
112,278,3000,172
112,289,1000,386
113,152,2000,356
113,162,1000,26
113,171,3000,499
113,231,2000,813
113,234,1000,796
113,295,1000,879
114,136,1000,334
114,139,1000,326
114,152,1000,38
114,155,2000,139
114,164,3000,913
114,182,2000,561
114,188,1000,307
114,236,3000,903
114,244,2000,448
114,246,2000,521
114,263,2000,659
114,266,2000,90
122,142,3000,708
122,145,1000,980
122,152,3000,498
122,153,1000,473
122,162,2000,427
122,168,2000,495
122,182,1000,273
122,231,2000,212
122,247,2000,228
122,249,2000,102
122,263,2000,833
122,272,3000,887
122,278,3000,133
136,155,3000,921
136,164,1000,168
136,224,3000,111
136,260,2000,50
136,266,2000,839
136,277,2000,488
136,295,1000,978
139,152,2000,130
139,155,3000,811
139,164,1000,571
139,168,3000,380
139,171,3000,900
139,213,1000,851
139,236,3000,806
139,252,2000,635
139,266,3000,381
139,272,3000,895
139,295,2000,253
142,145,1000,52
142,168,1000,973
142,209,2000,462
142,244,3000,884
142,249,1000,948
142,266,2000,178
142,293,1000,19
145,152,1000,382
145,153,1000,931
145,162,3000,564
145,164,2000,256
145,182,2000,873
145,188,1000,856
145,204,2000,240
145,205,1000,472
145,224,2000,268
145,236,2000,731
145,246,2000,683
145,249,3000,487
145,266,1000,861
145,289,3000,778
152,188,3000,842
152,204,2000,130
152,205,3000,891
152,223,3000,247
152,244,3000,537
152,247,1000,937
152,260,3000,247
152,289,1000,860
152,293,1000,625
153,155,2000,39
153,168,1000,730
153,174,2000,505
153,188,1000,347
153,205,1000,917
153,209,1000,672
153,213,1000,804
153,224,3000,397
153,266,3000,471
155,182,3000,450
155,188,3000,412
155,209,1000,734
155,213,3000,897
155,246,1000,496
155,247,3000,462
162,164,1000,769
162,168,2000,87
162,193,2000,154
162,209,2000,149
162,224,3000,936
162,252,2000,494
162,293,3000,791
164,168,2000,926
164,182,1000,62
164,188,2000,764
164,213,2000,665
164,223,2000,111
164,244,2000,960
164,249,2000,905
164,252,1000,17
164,260,1000,969
164,272,2000,194
164,278,1000,527
164,289,3000,926
168,174,1000,994
168,209,1000,185
168,234,1000,704
168,247,1000,569
168,293,1000,563
171,182,1000,475
171,205,3000,780
171,209,2000,777
171,234,3000,29
171,252,1000,210
171,266,2000,493
171,289,2000,827
174,188,1000,715
174,193,3000,190
174,204,2000,521
174,224,1000,148
174,234,3000,714
174,246,3000,669
174,247,2000,956
174,252,3000,410
174,260,2000,141
174,263,2000,899
174,289,3000,846
182,188,2000,695
182,224,3000,927
182,247,3000,846
182,249,1000,157
182,263,3000,633
182,266,2000,415
182,270,2000,835
182,272,3000,718
182,277,2000,641
188,205,1000,215
188,224,1000,636
188,234,2000,325
188,266,1000,178
188,272,2000,981
188,277,2000,636
188,295,1000,608
193,234,1000,95
193,246,3000,1
193,263,2000,118
193,266,3000,201
193,277,2000,388
193,293,2000,877
193,295,2000,643
204,224,2000,62
204,231,2000,901
204,234,1000,578
204,244,2000,355
204,247,1000,762
204,252,1000,927
204,263,3000,289
204,289,1000,156
204,293,3000,972
205,234,2000,266
205,249,1000,865
205,260,1000,890
205,277,1000,377
205,289,3000,100
209,213,1000,485
209,223,2000,791
209,249,1000,419
209,266,1000,23
209,289,3000,362
213,223,1000,208
213,231,1000,814
213,260,1000,244
213,278,1000,668
213,293,3000,944
223,234,2000,787
223,244,3000,832
223,270,2000,361
223,272,1000,801
224,249,3000,599
224,277,1000,676
231,236,3000,883
231,263,2000,499
231,270,2000,156
231,295,3000,51
234,236,3000,157
234,247,1000,396
234,263,1000,209
234,272,2000,877
234,277,1000,839
236,249,3000,199
236,252,1000,997
236,277,3000,730
236,278,2000,434
244,247,2000,35
244,263,2000,516
244,278,2000,502
244,293,1000,469
246,249,1000,880
246,260,2000,655
246,270,1000,918
246,272,3000,912
246,277,2000,929
246,293,1000,982
260,266,1000,730
260,277,1000,59
263,266,2000,589
266,277,2000,374
266,295,2000,861
270,278,1000,693
272,295,2000,148
277,293,1000,63
289,295,1000,838
